time,event_type,details
8.000000000001005,PACKET_SEND,"Packet(seq=184, size=1500, flow=1)"
8.03919999999998,CWND_UPDATE,2
8.040000000000983,PACKET_SEND,"Packet(seq=185, size=1500, flow=1)"
8.09039999999998,CWND_UPDATE,3
8.091000000000955,PACKET_SEND,"Packet(seq=186, size=1500, flow=1)"
8.141599999999979,CWND_UPDATE,4
8.142000000000927,PACKET_SEND,"Packet(seq=187, size=1500, flow=1)"
8.192799999999979,CWND_UPDATE,5
8.193000000000898,PACKET_SEND,"Packet(seq=188, size=1500, flow=1)"
8.243999999999978,CWND_UPDATE,6
8.24400000000087,PACKET_SEND,"Packet(seq=189, size=1500, flow=1)"
8.295199999999978,CWND_UPDATE,7
8.296000000000841,PACKET_SEND,"Packet(seq=190, size=1500, flow=1)"
8.346399999999978,CWND_UPDATE,8
8.347000000000813,PACKET_SEND,"Packet(seq=191, size=1500, flow=1)"
8.397599999999978,CWND_UPDATE,9
8.398000000000785,PACKET_SEND,"Packet(seq=192, size=1500, flow=1)"
8.448799999999977,CWND_UPDATE,10
8.449000000000757,PACKET_SEND,"Packet(seq=193, size=1500, flow=1)"
8.499999999999977,CWND_UPDATE,11
8.500000000000728,PACKET_SEND,"Packet(seq=194, size=1500, flow=1)"
8.551199999999977,CWND_UPDATE,12
8.5520000000007,PACKET_SEND,"Packet(seq=195, size=1500, flow=1)"
8.602399999999976,CWND_UPDATE,13
8.603000000000671,PACKET_SEND,"Packet(seq=196, size=1500, flow=1)"
8.653599999999976,CWND_UPDATE,14
8.654000000000643,PACKET_SEND,"Packet(seq=197, size=1500, flow=1)"
8.704799999999976,CWND_UPDATE,15
8.705000000000615,PACKET_SEND,"Packet(seq=198, size=1500, flow=1)"
8.755999999999975,CWND_UPDATE,16
8.756000000000586,PACKET_SEND,"Packet(seq=199, size=1500, flow=1)"
8.807199999999975,CWND_UPDATE,17
8.808000000000558,PACKET_SEND,"Packet(seq=200, size=1500, flow=1)"
8.858399999999975,CWND_UPDATE,18
8.85900000000053,PACKET_SEND,"Packet(seq=201, size=1500, flow=1)"
8.909599999999974,CWND_UPDATE,19
8.910000000000501,PACKET_SEND,"Packet(seq=202, size=1500, flow=1)"
8.960799999999974,CWND_UPDATE,20
8.961000000000473,PACKET_SEND,"Packet(seq=203, size=1500, flow=1)"
9.0,TIMEOUT,"{'new_ssthresh': 10, 'new_cwnd': 1}"
9.000000000000451,PACKET_SEND,"Packet(seq=204, size=1500, flow=1)"
9.011999999999974,CWND_UPDATE,2
9.012000000000445,PACKET_SEND,"Packet(seq=205, size=1500, flow=1)"
9.063199999999973,CWND_UPDATE,3
9.064000000000416,PACKET_SEND,"Packet(seq=206, size=1500, flow=1)"
9.114399999999973,CWND_UPDATE,4
9.115000000000387,PACKET_SEND,"Packet(seq=207, size=1500, flow=1)"
9.165599999999973,CWND_UPDATE,5
9.16600000000036,PACKET_SEND,"Packet(seq=208, size=1500, flow=1)"
9.216799999999973,CWND_UPDATE,6
9.217000000000331,PACKET_SEND,"Packet(seq=209, size=1500, flow=1)"
9.267999999999972,CWND_UPDATE,7
9.268000000000303,PACKET_SEND,"Packet(seq=210, size=1500, flow=1)"
9.319199999999972,CWND_UPDATE,8
9.320000000000274,PACKET_SEND,"Packet(seq=211, size=1500, flow=1)"
9.370399999999972,CWND_UPDATE,9
9.371000000000246,PACKET_SEND,"Packet(seq=212, size=1500, flow=1)"
9.421599999999971,CWND_UPDATE,10
9.422000000000217,PACKET_SEND,"Packet(seq=213, size=1500, flow=1)"
9.472799999999971,CWND_UPDATE,11
9.473000000000189,PACKET_SEND,"Packet(seq=214, size=1500, flow=1)"
9.52399999999997,CWND_UPDATE,12
9.52400000000016,PACKET_SEND,"Packet(seq=215, size=1500, flow=1)"
9.57519999999997,CWND_UPDATE,13
9.576000000000132,PACKET_SEND,"Packet(seq=216, size=1500, flow=1)"
9.62639999999997,CWND_UPDATE,14
9.627000000000104,PACKET_SEND,"Packet(seq=217, size=1500, flow=1)"
9.67759999999997,CWND_UPDATE,15
9.678000000000075,PACKET_SEND,"Packet(seq=218, size=1500, flow=1)"
9.72879999999997,CWND_UPDATE,16
9.729000000000047,PACKET_SEND,"Packet(seq=219, size=1500, flow=1)"
9.77999999999997,CWND_UPDATE,17
9.780000000000019,PACKET_SEND,"Packet(seq=220, size=1500, flow=1)"
9.831199999999969,CWND_UPDATE,18
9.83199999999999,PACKET_SEND,"Packet(seq=221, size=1500, flow=1)"
9.882399999999969,CWND_UPDATE,19
9.882999999999962,PACKET_SEND,"Packet(seq=222, size=1500, flow=1)"
9.933599999999968,CWND_UPDATE,20
9.933999999999934,PACKET_SEND,"Packet(seq=223, size=1500, flow=1)"
9.984799999999968,CWND_UPDATE,21
9.984999999999905,PACKET_SEND,"Packet(seq=224, size=1500, flow=1)"
